id_proveedor,nombre_proveedor,numero_factura,fecha,total_compra,descuentos,importe_base,credito_fiscal
1020757027,PIL ANDINA S.A.,5949,2022-01-29,1221.17,0.0,1218.91,158.46
1023233029,INDUSTRIAS DE ACEITE SA,26237,2022-01-28,3606.56,49.49,3557.07,462.42
1006843022,PROMOTORA DE EVENTOS S.A. PROESA,1137,2022-01-28,1465.98,379.23,1086.75,141.28
1020229024,CERVECERIA BOLIVIANA NACIONAL S.A.,136487,2022-01-28,2066.01,0.0,1721.28,223.77
1020757027,PIL ANDINA S.A.,5682,2022-01-27,1100.32,7.34,1092.98,142.09
1023225025,UNILEVER ANDINA BOLIVIA S.A.,8967,2022-01-26,1029.37,0.0,1029.37,133.82
1020757027,PIL ANDINA S.A.,5557,2022-01-26,1800.52,0.0,1744.12,226.74
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,45224,2022-01-26,1953.1,71.71,1728.06,224.65
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,45223,2022-01-26,1988.3,226.06,1606.44,208.84
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,45222,2022-01-26,9251.8,544.23,7659.49,995.73
1020757027,PIL ANDINA S.A.,5396,2022-01-25,1617.04,10.56,1597.26,207.64
1028779020,GRANJA AVICOLA INTEGRAL SOFIA LTDA.,5334,2022-01-25,1118.18,0.0,1118.18,145.36
1020539025,INDUSTRIAS VENADO S.A.,2977,2022-01-25,1882.28,0.0,1882.28,244.7
1023233029,INDUSTRIAS DE ACEITE SA,25532,2022-01-24,1188.14,30.98,1157.16,150.43
1020757027,PIL ANDINA S.A.,5310,2022-01-24,1760.87,0.0,1760.87,228.91
1028737025,INGENIO AZUCARERO GUABIRA SA,544,2022-01-24,1221.0,0.0,1221.0,158.73
179366027,SEDIM S.R.L.,18384,2022-01-22,2838.1,113.5,2724.6,354.2
1023233029,INDUSTRIAS DE ACEITE SA,25400,2022-01-21,2181.76,7.2,2174.56,282.69
1020757027,PIL ANDINA S.A.,5171,2022-01-21,1234.22,0.0,1234.22,160.45
1020229024,CERVECERIA BOLIVIANA NACIONAL S.A.,130573,2022-01-21,3525.18,0.0,3030.29,393.94
1020649021,COMPANEX BOLIVIA S.A.,20675,2022-01-20,1686.9,65.4,1621.5,210.8
1020757027,PIL ANDINA S.A.,5050,2022-01-20,1753.66,16.34,1737.32,225.85
1020757027,PIL ANDINA S.A.,5034,2022-01-20,1106.28,6.12,1100.16,143.02
1028703022,MAYOREO Y DISTRIBUCION S.A.,7944,2022-01-19,1109.4,0.0,1109.4,144.22
1023225025,UNILEVER ANDINA BOLIVIA S.A.,6905,2022-01-19,1227.5,13.0,1214.5,157.89
1020757027,PIL ANDINA S.A.,4902,2022-01-19,1601.1,28.0,1573.1,204.5
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,13852,2022-01-19,1493.4,73.3,1351.95,175.75
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,13850,2022-01-19,1267.78,44.95,1108.42,144.09
1020757027,PIL ANDINA S.A.,4728,2022-01-18,1866.89,13.74,1842.99,239.59
1020539025,INDUSTRIAS VENADO S.A.,90320,2022-01-18,1417.38,74.62,1342.76,174.56
1020757027,PIL ANDINA S.A.,4593,2022-01-17,2381.86,7.24,2374.62,308.7
1020317028,MINOIL S.A.,4892,2022-01-15,1836.01,6.45,1829.56,237.84
179366027,SEDIM S.R.L.,16342,2022-01-15,1864.0,74.6,1789.4,232.62
179366027,SEDIM S.R.L.,16341,2022-01-15,3464.6,138.6,3326.0,432.38
1020757027,PIL ANDINA S.A.,4440,2022-01-15,1977.24,64.8,1912.44,248.62
1007039026,EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. EMBOL S.A.,932822,2022-01-15,1212.5,36.4,1080.22,140.43
1023233029,INDUSTRIAS DE ACEITE SA,24282,2022-01-14,3279.2,395.99,2883.21,374.82
1020757027,PIL ANDINA S.A.,4327,2022-01-14,1571.34,8.56,1562.78,203.16
1020229024,CERVECERIA BOLIVIANA NACIONAL S.A.,123376,2022-01-14,2315.49,0.0,1896.71,246.57
1020757027,PIL ANDINA S.A.,4249,2022-01-13,1182.24,0.0,1177.72,153.1
