id_producto,nombre_producto,Precio
7790580343507, Arcos Delicias,36.0
7775602130020, BOLSAS de  BASURA  65X80 Cm,8.5
77700005487, Crema Corporal dinazul,13.0
7775000009089, Detergente Ola  Limon160g,3.0
7500435019880, Head & Shoulders Manzana Fresh,40.0
7755188000283, Lorito Reina,18.0
7776507001767, Nacional Balance,15.0
7793360005329, Nereida Atun al Natural,8.0
77751493001181, Pañales HUGGIES xg.,112.0
090388111214, Real Ensalada de Atun,15.5
7772314340037, toscano,7.0
7779970431185,4 Esponjas Multiuso,5.0
7790040569706,7 Semillas,8.5
7506339391657,7506339391657,46.0
82525847,ABARROTES,0.0
7500435134361,ACE,3.0
7500435146388,ACE  Manzanilla de 800g,17.0
7506339359930,ACE 800G,16.0
777310300095,ACEITE,7.0
048327203438,ACEITE DE OLIVA YBARRA,26.5
7777906051070,ACEITE DE OLIVO NUNA  de250ml,23.0
7891080148859,ACEITE DE SOYA,9.0
7773103002532,ACEITE FINO DEFENSAS 900ML,13.5
7771258140208,ACEITUNA,10.0
7804920003232,ACONDICIONADOR  SIN SAL Palta Aguacate y Almandra de 900,23.0
7777906050240,ACONDICIONADOR  YOGURT 900ml,14.5
7804920005915,ACONDICIONADOR Aceite de coco y argan  900ml,15.0
7791293047980,ACONDICIONADOR BOMBA COCO,20.0
7804920007469,ACONDICIONADOR CARBON ACTIVO,24.5
7804920005274,ACONDICIONADOR DETOX de 900ml,15.0
7702031604501,ACONDICIONADOR GOTAS DE BRILLO,18.0
7804920003218,ACONDICIONADOR GRANADA SIN SAL,23.0
7791293045214,ACONDICIONADOR OLEO NUTRICION,25.5
7791293046020,ACONDICIONADOR RISOS de 650ml,29.0
7791293027319,ACONDICIONADOR SEDAL,29.0
271,ACT II Mantequilla,13.0
272,ACT II Mantequilla Extra,14.0
274,ACT II Natural,9.0
270,ACT II Queso,19.0
77771609002520,ACUARIOS PERA de 3L,15.0
7794000791541,ADES,10.5
7794000792005,ADES  Durasno 200ml.,3.5
771609002940,ADES  MANZANA,13.0
7790895643828,ADES DURAZNO,9.0
7794000791947,ADES free light manzana,12.5
552000098391,AGEDRES,20.0
7794640650796,AGUAFRESH,12.5
7790407031532,AGUILA CHOCOLITOS de 150g,13.0
7754487002264,AJIMEN  VASA GALLINA,8.0
7774904401647,ALCOHOL EN AEREOSOL   360cm,12.5
7897984717740,ALCOHOL EN GEL Antibacterial  310g,16.0
15156,ALIMENTOS,2.0
7779604120324,ALINA MIX,6.0
7772602002128,ALMOHADITAS RELLENAS de 650g,27.0
7898182802115,ALUMINIO  BLUFORTE,10.0
7898921466318,ALUMINIO BOMPACK,11.0
7898921466301,ALUMINIO BOMPACK DE 7.5  mt,15.0
6001495062508,AMARULA,140.0
1403,AMBIENTADOR AIR WICK flores de manzano,17.5
7791130133791,AMBIENTADOR Air Wick Antitabaco,17.5
1407,AMBIENTADOR Air Wick anti tabaco,17.5
1406,AMBIENTADOR Air Wick flores de vainilla,17.5
1401,AMBIENTADOR GLADE,17.0
1405,AMBIENTADOR air wick mar de coral,17.5
7750000425,AMBIENTADORES OLA AROMATIC,4.0
7501821512008,AMBIENTDOR WIESE,11.0
