fecha,id_producto,nombre_producto,cantidad,precio_unit,total_venta
2023-08-01,070330411425,Aceite ,2.0,59.0,118.0
2023-08-01,1122,Arroz ,2.0,240.0,480.0
2023-08-01,3002,Azucar ,1.0,260.0,260.0
2023-08-01,844,Chorizo Dillmann ,10.0,20.0,200.0
2023-08-01,7771609003121,coca cola 2 l. ,13.0,7.5,97.5
2023-08-01,7750243063708,Detergente en polvo Uno 2 kg. ,5.0,26.0,130.0
2023-08-01,7791293045504,Dove ritual reparacion ,5.0,36.0,180.0
2023-08-01,fideo,Fideo ,2.0,57.0,114.0
2023-08-01,1547,GAlletas Salvado Integral 1kg ,5.0,33.0,165.0
2023-08-01,3003,Harina ,3.0,55.0,165.0
2023-08-01,7775021521676,Hogar lava vajillas 5 l ,2.0,48.0,96.0
2023-08-01,77852255,Huevo ,5.0,27.0,135.0
2023-08-01,7774112100684,jamonada ,10.0,21.0,210.0
2023-08-01,7771259751045,Leche Entera Pil ,15.0,6.0,90.0
2023-08-01,7891000286449,Nescafe 230g. ,3.0,35.0,105.0
2023-08-01,3001,Pan ,21.0,0.5,10.5
2023-08-01,7707199349455,Papel higienico elite ,5.0,25.0,125.0
2023-08-01,3015,Queso ,1.0,70.0,70.0
2023-08-01,131,Sardina Lidita Chilena ,5.0,19.0,95.0
2023-08-01,7771430110029,Arroz Crano de Oro ,1.0,10.0,10.0
2023-08-01,21536,chuletas de cerdo ,1.0,16.5,16.5
2023-08-01,700002521041,Condimentos ,1.0,11.0,11.0
2023-08-01,7779970730318,cuchillos desechables ,6.0,2.5,15.0
2023-08-01,700000514,Hielo ,1.0,5.0,5.0
2023-08-01,77852255,Huevo ,1.0,13.5,13.5
2023-08-01,7775000011662,OLA Bolsas de Basura  de 10un 90x110cm ,1.0,27.0,27.0
,,,,,
2023-08-01,7773400000194,Pan Molde ,1.0,10.0,10.0
2023-08-01,7898930672441,Papel Aluminio . ,2.0,10.0,20.0
2023-08-01,7776507000623,Papel Tohalla ,1.0,10.0,10.0
2023-08-01,7775000002318,pepinillos ,1.0,13.5,13.5
2023-08-01,7779970730134,platos de torta ,15.0,2.0,30.0
2023-08-01,7779970630298,platos pequenos ,1.0,15.0,15.0
2023-08-01,7896292340503,Predilecta ,1.0,5.5,5.5
2023-08-01,7774661159010,queso mozzarella san javier ,1.0,14.0,14.0
2023-08-01,7896030896644,Vasos termicos ,1.0,10.0,10.0
2023-08-01,700002501205,Api ,1.0,2.0,2.0
2023-08-01,7779970432342,Cuaderno TOP ,1.0,10.0,10.0
2023-08-01,7779970434056,hojas ,1.0,22.0,22.0
2023-08-01,7771224008884,Mega cono ,2.0,3.5,7.0
2023-08-01,070530642926,Quinua ,1.0,8.5,8.5
2023-08-01,838,Leche PIL ,1.0,6.0,6.0
2023-08-01,3015,Queso ,1.0,94.0,94.0
2023-08-01,7790080031850,Dulce de leche ,2.0,0.5,1.0
2023-08-01,838,Leche PIL ,1.0,6.0,6.0
